Country Name ,Country Code,2018,2019,2020,2021,2022,2023
Albania,ALB,4.019345617,2.087711996,-3.302082039,8.908527818,4.856401652,3.439149499
Azerbaijan,AZE,1.5,2.500000067,-4.300000102,5.616451029,4.714802365,1.123974327
Bulgaria,BGR,2.694906553,4.035188947,-3.966156136,7.661748074,3.926432221,1.84638956
Bosnia and Herzegovina,BIH,3.827499205,2.887343344,-3.015095148,7.38996234,4.226811011,1.676223469
Belarus,BLR,3.149639499,1.446206671,-0.672904125,2.438866081,-4.658244891,3.886242145
Hungary,HUN,5.362348362,4.864225735,-4.487046048,7.06122061,4.583407673,-0.907685956
Kazakhstan,KAZ,4.099999993,4.500000001,-2.499999996,4.299999997,3.2,5.1
Montenegro,MNE,5.077888811,4.062944992,-15.30689376,13.04346425,6.406680329,5.981903216
Romania,ROU,6.029019041,3.853163833,-3.677510791,5.708894558,4.107027202,2.148476996
Serbia,SRB,4.495121293,4.331734906,-0.903218502,7.725947777,2.54995557,2.527793336
Turkmenistan,TKM,6.199999941,6.300000042,5.9,6.2,6.2,6.3
Turkiye,TUR,3.013179908,0.818525936,1.85983969,11.43938474,5.533469266,4.516866508
