Country Name,Country Code,2018,2019,2020,2021,2022,2023
Albania,ALB,3.152944803,3.916239977,3.342299938,3.022559881,2.744329929,
Azerbaijan,AZE,2.455430031,3.176460028,4.332049847,3.702080011,3.046900034,3.582900286
Bulgaria,BGR,4.047090054,4.199029922,4.505139828,4.73032999,,
Bosnia and Herzegovina,BIH,3.892970085,4.044499874,3.019540787,4.136229992,,
Belarus,BLR,5.381100178,4.979489803,4.862639904,4.606410027,4.628230095,4.951479912
Hungary,HUN,4.623439789,4.224880219,4.153570175,4.684060097,,
Kazakhstan,KAZ,3.151916265,3.353821278,4.446203709,4.385694027,4.458202362,
Montenegro,MNE,,,,,,
Romania,ROU,3.319180012,3.566950083,3.589260101,3.324529886,,
Serbia,SRB,3.582319975,3.616470098,,3.298670053,3.239389896,
Turkmenistan,TKM,,3.120549917,3.76267004,3.848910093,3.733860016,2.746510029
Turkiye,TUR,4.297299862,4.447760105,4.033820152,3.537879944,2.614303589,
